Trial,ParticipantID,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,Year,Task,ParticipantGender,SearchOrder,Item
6,2019-3_1_f11,25,DOWN,2.28,28,157.5,81.43,FALSE,10724,10748,439.7,186.8,398.2,267.5,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2019-3_1_f11,26,RIGHT,4.14,32,288.2,129.31,FALSE,10880,10908,405.8,272,568.3,362.9,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2019-3_1_f11,27,LEFT,4.19,40,186.8,104.82,FALSE,11072,11108,564.6,375.5,373.2,324.9,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2019-3_1_f11,28,LEFT,2.25,28,158.6,80.47,FALSE,11344,11368,372.8,324.3,263.2,331.3,2019,VisualSearch_Count,Female,1,eggs.jpg
6,2018-5_1_m2,18,LEFT,3.91,33,198.13,118.5,FALSE,5451,5483,1059.7,1002.6,837.8,1043.8,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,19,LEFT,4.48,38,196.59,117.86,FALSE,5851,5888,853.7,1035.8,592.2,1061.8,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-1_2_f,8,DOWN,NA,51,900.85,NA,TRUE,6299,6349,950.7,480.3,NA,NA,2018,SocialEngagement,Female,NA,eggs.jpg
6,2019-5_1_f21,61,LEFT,3,24,212,124.96,FALSE,16808,16828,500,796,348.7,796.6,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,62,RIGHT,2.58,24,209.8,107.63,FALSE,17152,17172,372.4,802.6,501.4,788.7,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,63,RIGHT,3.57,32,256.6,111.64,FALSE,17480,17508,481.5,795.7,658.5,813.6,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,64,RIGHT,2.56,28,229.9,91.33,FALSE,17768,17792,656.6,819.4,775.2,781.8,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,65,RIGHT,1.43,32,197.1,44.58,FALSE,17956,17984,771.3,786.5,840.1,799.2,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,66,RIGHT,1.45,32,179.3,45.19,FALSE,18236,18264,847.4,807.5,918.8,810.8,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,67,RIGHT,2.16,40,235.9,53.93,FALSE,18424,18460,923.8,814.6,1030.1,805.1,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,68,RIGHT,4.4,48,312.5,91.72,FALSE,18836,18880,1046.2,805.6,1265.7,789.3,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,69,RIGHT,2.34,24,176.4,97.4,FALSE,19244,19264,1281.5,790.4,1377.5,732.9,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,70,RIGHT,3.33,44,272.3,75.67,FALSE,19368,19408,1358.8,742.2,1528.5,759.4,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,71,DOWN,0.7,160,942.5,4.4,TRUE,19968,20124,1547.6,766.7,1572.3,789.2,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,72,LEFT,2.21,36,250.6,61.44,FALSE,20408,20440,1563,774.7,1473.2,834.7,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,73,DOWN,2.21,36,238.3,61.52,FALSE,20784,20816,1456.2,843.4,1532.4,917.1,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2019-5_1_f21,74,LEFT,2.94,20,301.5,147.18,FALSE,21164,21180,1539.2,912,1385.5,929.7,2019,VisualSearch_Star,Female,2,eggs.jpg
6,2018-5_1_m2,37,RIGHT,1.66,22,99.03,75.24,FALSE,11937,11958,958,659.7,1033.6,698.8,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,38,RIGHT,8.88,45,289.09,197.26,FALSE,12153,12197,1027.3,699.8,1528.4,700.3,2018,VisualSearch_Star,Male,2,eggs.jpg
