Trial,ParticipantID,Fixation,Duration,PupilSize,PositionX,PositionY,StartTime,EndTime,Year,Task,ParticipantGender,SearchOrder,Item
1,2019-5_1_f21,61,184,1583,199.6,432.2,15936,16116,2019,VisualSearch_Count,Female,2,sheep.jpg
1,2019-5_1_f21,62,424,1585,223.8,440.4,16128,16548,2019,VisualSearch_Count,Female,2,sheep.jpg
1,2019-5_1_f21,63,176,1650,482.2,476.3,16600,16772,2019,VisualSearch_Count,Female,2,sheep.jpg
1,2018-4_2_F1,21,729,1478,282.8,467.7,9430,10158,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-4_2_F1,22,388,1543,260.2,630.3,10189,10576,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-4_2_F1,23,22,1536,718.2,662,10639,10660,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-4_2_F1,24,99,1499,708.2,675.6,10677,10775,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-4_2_F1,25,246,1484,795.3,561.8,10820,11065,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-4_2_F1,26,243,1596,881.8,505.7,11090,11332,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2019-3_1_f11,18,180,1340,326.9,362.4,5688,5864,2019,VisualSearch_Star,Female,1,sheep.jpg
1,2019-3_1_f11,19,296,1236,123.3,277.3,5908,6200,2019,VisualSearch_Star,Female,1,sheep.jpg
1,2019-3_1_f11,20,340,1231,660.4,174.5,6264,6600,2019,VisualSearch_Star,Female,1,sheep.jpg
1,2019-3_1_f11,21,964,1220,602.1,190.2,6628,7588,2019,VisualSearch_Star,Female,1,sheep.jpg
1,2019-3_1_f11,22,332,1146,1408.4,102.2,7664,7992,2019,VisualSearch_Star,Female,1,sheep.jpg
1,2019-1_2_m,1,468,1876,755.2,390.5,0,464,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-1_2_m,2,164,2014,786.9,453.4,612,772,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-1_2_m,3,172,2093,744.7,422.7,796,964,2019,SocialEngagement,Male,NA,sheep.jpg
1,2019-5_1_f21,78,332,1466,1566.8,701.9,20600,20928,2019,VisualSearch_Count,Female,2,sheep.jpg
1,2019-5_1_f21,79,216,1430,1527,661,20956,21168,2019,VisualSearch_Count,Female,2,sheep.jpg
1,2018-5_1_m2,12,327,1265,1537.9,676.7,2967,3293,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,13,320,1251,1677.7,699.7,3321,3640,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,14,296,1283,1736.7,662.1,3660,3955,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,15,168,1276,1715.6,646.1,3963,4130,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,16,327,1237,1724.5,621.4,4149,4475,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,17,277,1227,1727,602.4,4484,4760,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,18,244,1226,1701.7,635.3,4776,5019,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,19,553,1234,1674.5,617.6,5029,5581,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,20,207,1219,1631.8,639,5593,5799,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,21,384,1240,1555.2,669.3,5822,6205,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,22,498,1207,1460.5,647.6,6227,6724,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,23,465,1153,1480.7,626.3,6739,7203,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,24,247,1159,1426.1,702.8,7227,7473,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,25,284,1199,1389.1,686.9,7484,7767,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,26,429,1167,1271.3,692.8,7790,8218,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,27,551,1246,1203.5,740.6,8238,8788,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,28,285,1321,959.2,836.5,8824,9108,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,29,262,1284,1212.5,684.2,9148,9409,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,30,190,1321,1127,692.6,9431,9620,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,31,463,1320,1226.4,683.4,9644,10106,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,32,217,1325,1094.5,684.5,10129,10345,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,33,636,1309,1142.7,658.6,10362,10997,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,34,400,1220,1260.9,662,11025,11424,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-5_1_m2,35,763,1254,1303.5,642.5,11446,12208,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2019-4_2_m12,26,128,2642,1267.8,720,6256,6380,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,27,324,2621,1063.3,676.8,6424,6744,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,28,220,2675,1027.3,723.2,6776,6992,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,29,264,2718,875,703.6,7040,7300,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,30,240,2705,691.8,681.6,7340,7576,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,31,324,2709,517.1,650,7616,7936,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,32,240,2770,435.2,632.6,7960,8196,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,33,324,2807,359.6,624.1,8220,8540,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,34,236,2854,331.5,621.1,8556,8788,2019,VisualSearch_Star,Male,1,sheep.jpg
